,0,1,2,3
202006020706,単勝,9,580,3
202006020706,複勝,9br11br3,170br410br120,2br7br1
202006020706,枠連,5 - 6,1630,6
202006020706,馬連,9 - 11,6820,21
202006020706,ワイド,9 - 11br3 - 9br3 - 11,"1,580br260br880",19br1br10
202006020706,馬単,9 → 11,9910,32
202006020706,三連複,3 - 9 - 11,3420,10
202006020706,三連単,9 → 11 → 3,32980,106
202006020707,単勝,16,2230,8
202006020707,複勝,16br1br5,460br190br180,8br3br2
202006020707,枠連,1 - 8,2740,12
202006020707,馬連,1 - 16,5090,18
202006020707,ワイド,1 - 16br5 - 16br1 - 5,"1,600br1,740br430",20br21br2
202006020707,馬単,16 → 1,11030,41
202006020707,三連複,1 - 5 - 16,7940,24
202006020707,三連単,16 → 1 → 5,69010,218
202006020708,単勝,1,170,1
202006020708,複勝,1br6br13,110br260br210,1br6br4
202006020708,枠連,1 - 5,1030,5
202006020708,馬連,1 - 6,1040,5
202006020708,ワイド,1 - 6br1 - 13br6 - 13,"480br360br1,290",6br5br15
202006020708,馬単,1 → 6,1430,6
202006020708,三連複,1 - 6 - 13,2420,10
202006020708,三連単,1 → 6 → 13,7170,23
202006020709,単勝,2,1170,4
202006020709,複勝,2br8br4,"380br1,150br570",5br13br6
202006020709,枠連,1 - 4,9590,26
202006020709,馬連,2 - 8,21510,47
202006020709,ワイド,2 - 8br2 - 4br4 - 8,"5,800br2,400br8,270",51br27br64
202006020709,馬単,2 → 8,31090,70
202006020709,三連複,2 - 4 - 8,107880,200
202006020709,三連単,2 → 8 → 4,562820,1027
202006020710,単勝,1,900,4
202006020710,複勝,1br14br12,250br200br500,4br2br8
202006020710,枠連,1 - 8,1870,8
202006020710,馬連,1 - 14,2380,9
202006020710,ワイド,1 - 14br1 - 12br12 - 14,"840br3,260br2,160",8br33br26
202006020710,馬単,1 → 14,5520,18
202006020710,三連複,1 - 12 - 14,18960,60
202006020710,三連単,1 → 14 → 12,93210,285
202006020711,単勝,13,7930,12
202006020711,複勝,13br14br12,"1,450br290br160",13br5br1
202006020711,枠連,8 - 8,21370,26
202006020711,馬連,13 - 14,32060,57
202006020711,ワイド,13 - 14br12 - 13br12 - 14,"8,260br5,250br730",62br50br7
202006020711,馬単,13 → 14,78940,133
202006020711,三連複,12 - 13 - 14,32610,96
202006020711,三連単,13 → 14 → 12,340910,805
202006020712,単勝,1,240,1
202006020712,複勝,1br9br7,110br110br110,2br3br1
202006020712,枠連,1 - 8,440,3
202006020712,馬連,1 - 9,410,2
202006020712,ワイド,1 - 9br1 - 7br7 - 9,140br120br140,3br1br2
202006020712,馬単,1 → 9,780,5
202006020712,三連複,1 - 7 - 9,180,1
202006020712,三連単,1 → 9 → 7,1130,3
202006020801,単勝,9,280,2
202006020801,複勝,9br15br16,110br110br250,2br1br6
202006020801,枠連,5 - 8,190,1
202006020801,馬連,9 - 15,210,1
202006020801,ワイド,9 - 15br9 - 16br15 - 16,130br520br450,1br8br6
202006020801,馬単,9 → 15,500,2
202006020801,三連複,9 - 15 - 16,1030,4
202006020801,三連単,9 → 15 → 16,3670,8
202006020802,単勝,16,1790,6
202006020802,複勝,16br4br2,340br160br170,5br2br4
202006020802,枠連,2 - 8,3360,12
202006020802,馬連,4 - 16,3250,10
202006020802,ワイド,4 - 16br2 - 16br2 - 4,860br790br350,9br8br5
202006020802,馬単,16 → 4,7350,25
202006020802,三連複,2 - 4 - 16,3760,13
202006020802,三連単,16 → 4 → 2,32490,109
202006020803,単勝,3,2780,7
202006020803,複勝,3br15br6,460br110br480,7br1br8
202006020803,枠連,2 - 8,2630,9
202006020803,馬連,3 - 15,3500,10
202006020803,ワイド,3 - 15br3 - 6br6 - 15,"1,170br4,870br950",11br34br7
202006020803,馬単,3 → 15,8940,26
202006020803,三連複,3 - 6 - 15,17460,45
202006020803,三連単,3 → 15 → 6,151390,309
202006020804,単勝,7,4300,9
202006020804,複勝,7br2br6,660br170br220,8br2br4
202006020804,枠連,2 - 5,4970,16
202006020804,馬連,2 - 7,9650,27
202006020804,ワイド,2 - 7br6 - 7br2 - 6,"2,820br3,140br660",26br30br7
202006020804,馬単,7 → 2,25110,65
202006020804,三連複,2 - 6 - 7,17400,55
202006020804,三連単,7 → 2 → 6,182840,476
202006020805,単勝,4,180,1
202006020805,複勝,4br5br8,110br160br120,1br3br2
202006020805,枠連,2 - 3,580,2
202006020805,馬連,4 - 5,650,2
202006020805,ワイド,4 - 5br4 - 8br5 - 8,230br170br480,2br1br4
202006020805,馬単,4 → 5,1040,3
202006020805,三連複,4 - 5 - 8,900,1
202006020805,三連単,4 → 5 → 8,3790,2
202006020806,単勝,7,340,2
202006020806,複勝,7br12br8,130br130br230,1br2br5
202006020806,枠連,4 - 6,400,1
202006020806,馬連,7 - 12,500,1
202006020806,ワイド,7 - 12br7 - 8br8 - 12,230br580br540,1br6br4
202006020806,馬単,7 → 12,1000,2
202006020806,三連複,7 - 8 - 12,1940,3
202006020806,三連単,7 → 12 → 8,7950,11
202006020807,単勝,6,3330,7
202006020807,複勝,6br2br5,570br110br800,7br1br8
202006020807,馬連,2 - 6,2690,9
202006020807,ワイド,2 - 6br5 - 6br2 - 5,"950br6,110br990",11br28br13
202006020807,馬単,6 → 2,6950,18
202006020807,三連複,2 - 5 - 6,13300,29
202006020807,三連単,6 → 2 → 5,111640,174
202006020808,単勝,5,730,5
202006020808,複勝,5br10br8,280br760br220,5br12br1
202006020808,枠連,3 - 5,1870,9
202006020808,馬連,5 - 10,12890,53
202006020808,ワイド,5 - 10br5 - 8br8 - 10,"4,480br940br5,130",60br5br68
202006020808,馬単,5 → 10,21040,93
202006020808,三連複,5 - 8 - 10,31080,123
202006020808,三連単,5 → 10 → 8,218060,844
202006020809,単勝,5,170,1
202006020809,複勝,5br3br6,110br140br170,1br3br5
202006020809,馬連,3 - 5,530,2
202006020809,ワイド,3 - 5br5 - 6br3 - 6,240br280br510,3br4br10
202006020809,馬単,5 → 3,670,2
202006020809,三連複,3 - 5 - 6,1130,5
202006020809,三連単,5 → 3 → 6,3090,8
202006020810,単勝,11,550,3
202006020810,複勝,11br1br7,140br110br140,2br1br3
202006020810,枠連,1 - 8,520,2
202006020810,馬連,1 - 11,530,1
202006020810,ワイド,1 - 11br7 - 11br1 - 7,220br330br260,1br4br2
202006020810,馬単,11 → 1,1490,4
202006020810,三連複,1 - 7 - 11,750,1
202006020810,三連単,11 → 1 → 7,5020,7
202006020811,単勝,8,510,2
202006020811,複勝,8br7br12,260br730br200,4br10br2
202006020811,枠連,4 - 4,8970,27
202006020811,馬連,7 - 8,8490,32
202006020811,ワイド,7 - 8br8 - 12br7 - 12,"2,970br910br2,510",36br8br31
202006020811,馬単,8 → 7,13100,53
202006020811,三連複,7 - 8 - 12,18310,68
202006020811,三連単,8 → 7 → 12,106630,391
202006020812,単勝,1,360,2
202006020812,複勝,1br8br3,180br140br590,2br1br10
202006020812,枠連,1 - 4,490,1
202006020812,馬連,1 - 8,680,1
202006020812,ワイド,1 - 8br1 - 3br3 - 8,"350br1,790br1,600",1br23br19
202006020812,馬単,1 → 8,1210,1
202006020812,三連複,1 - 3 - 8,5950,14
202006020812,三連単,1 → 8 → 3,21660,44
202006020901,単勝,14,420,2
202006020901,複勝,14br2br6,170br380br130,3br7br1
202006020901,枠連,1 - 7,1420,7
202006020901,馬連,2 - 14,4630,18
202006020901,ワイド,2 - 14br6 - 14br2 - 6,"1,530br450br1,010",19br2br13
202006020901,馬単,14 → 2,6900,28
202006020901,三連複,2 - 6 - 14,4390,17
202006020901,三連単,14 → 2 → 6,32630,122
202006020902,単勝,6,580,3
202006020902,複勝,6br8br3,440br280br560,4br2br5
202006020902,枠連,3 - 4,2290,7
202006020902,馬連,6 - 8,2230,6
202006020902,ワイド,6 - 8br3 - 6br3 - 8,"610br1,090br800",6br11br8
202006020902,馬単,6 → 8,4390,12
202006020902,三連複,3 - 6 - 8,6700,12
202006020902,三連単,6 → 8 → 3,30270,80
202006020903,単勝,3,1950,6
202006020903,複勝,3br15br1,360br150br160,6br1br3
202006020903,枠連,2 - 8,1970,7
202006020903,馬連,3 - 15,3620,12
202006020903,ワイド,3 - 15br1 - 3br1 - 15,"1,050br1,110br370",12br13br1
202006020903,馬単,3 → 15,8360,30
202006020903,三連複,1 - 3 - 15,4280,10
202006020903,三連単,3 → 15 → 1,40370,124
202006020904,単勝,2,290,1
202006020904,複勝,2br9br12,140br150br310,1br2br7
202006020904,枠連,1 - 5,310,1
202006020904,馬連,2 - 9,630,1
202006020904,ワイド,2 - 9br2 - 12br9 - 12,"280br1,190br1,400",1br11br16
202006020904,馬単,2 → 9,950,1
202006020904,三連複,2 - 9 - 12,4610,10
202006020904,三連単,2 → 9 → 12,15930,21
202006020905,単勝,3,400,2
202006020905,複勝,3br1br6,150br170br190,2br3br4
202006020905,枠連,1 - 2,830,4
202006020905,馬連,1 - 3,830,3
202006020905,ワイド,1 - 3br3 - 6br1 - 6,380br430br480,4br5br6
202006020905,馬単,3 → 1,1620,4
202006020905,三連複,1 - 3 - 6,1470,4
202006020905,三連単,3 → 1 → 6,7080,14
202006020906,単勝,2,410,2
202006020906,複勝,2br12br14,160br340br440,2br4br6
202006020906,枠連,1 - 6,1560,6
202006020906,馬連,2 - 12,1730,8
202006020906,ワイド,2 - 12br2 - 14br12 - 14,"690br1,060br1,860",6br13br19
202006020906,馬単,2 → 12,2860,9
202006020906,三連複,2 - 12 - 14,8930,29
202006020906,三連単,2 → 12 → 14,34850,98
202006020907,単勝,7,1120,6
202006020907,複勝,7br1br3,360br200br250,6br3br4
202006020907,枠連,1 - 7,3100,11
202006020907,馬連,1 - 7,3180,13
202006020907,ワイド,1 - 7br3 - 7br1 - 3,"1,180br1,270br690",16br18br9
202006020907,馬単,7 → 1,6330,27
202006020907,三連複,1 - 3 - 7,6500,26
202006020907,三連単,7 → 1 → 3,39940,158
202006020908,単勝,6,220,1
202006020908,複勝,6br4br9,140br290br320,1br5br6
202006020908,枠連,4 - 6,830,5
202006020908,馬連,4 - 6,1320,4
202006020908,ワイド,4 - 6br6 - 9br4 - 9,"540br710br1,810",4br7br24
202006020908,馬単,6 → 4,2200,5
202006020908,三連複,4 - 6 - 9,4380,16
202006020908,三連単,6 → 4 → 9,17430,51
202006020909,単勝,3,950,3
202006020909,複勝,3br7br6,210br250br120,3br5br1
202006020909,枠連,3 - 6,900,4
202006020909,馬連,3 - 7,5040,16
202006020909,ワイド,3 - 7br3 - 6br6 - 7,920br370br430,12br2br4
202006020909,馬単,3 → 7,8950,26
202006020909,三連複,3 - 6 - 7,2570,8
202006020909,三連単,3 → 7 → 6,22560,76
202006020910,単勝,16,900,4
202006020910,複勝,16br2br10,270br250br290,4br3br5
202006020910,枠連,1 - 8,1420,5
202006020910,馬連,2 - 16,2830,8
202006020910,ワイド,2 - 16br10 - 16br2 - 10,"1,220br1,330br1,110",10br13br8
202006020910,馬単,16 → 2,6820,20
202006020910,三連複,2 - 10 - 16,7870,16
202006020910,三連単,16 → 2 → 10,50630,119
202006020911,単勝,7,1660,6
202006020911,複勝,7br3br9,380br110br140,7br1br2
202006020911,枠連,3 - 7,710,3
202006020911,馬連,3 - 7,2910,11
202006020911,ワイド,3 - 7br7 - 9br3 - 9,"780br1,350br200",11br16br1
202006020911,馬単,7 → 3,9820,26
202006020911,三連複,3 - 7 - 9,3050,10
202006020911,三連単,7 → 3 → 9,37220,101
202006020912,単勝,6,4070,9
202006020912,複勝,6br3br14,850br210br930,9br3br10
202006020912,枠連,2 - 3,530,2
202006020912,馬連,3 - 6,7290,22
202006020912,ワイド,3 - 6br6 - 14br3 - 14,"2,360br8,580br2,980",22br62br29
202006020912,馬単,6 → 3,20040,57
202006020912,三連複,3 - 6 - 14,63830,153
202006020912,三連単,6 → 3 → 14,462090,974
202006030101,単勝,1,2390,6
202006030101,複勝,1br12br14,360br110br110,8br1br2
202006030101,枠連,1 - 6,2730,9
202006030101,馬連,1 - 12,3260,11
202006030101,ワイド,1 - 12br1 - 14br12 - 14,870br850br150,12br11br1
202006030101,馬単,1 → 12,9260,26
202006030101,三連複,1 - 12 - 14,2000,6
202006030101,三連単,1 → 12 → 14,25600,70
202006030102,単勝,4,3680,9
202006030102,複勝,4br2br7,"1,410br290br910",9br2br6
202006030102,枠連,1 - 2,5170,14
202006030102,馬連,2 - 4,10510,24
202006030102,ワイド,2 - 4br4 - 7br2 - 7,"2,480br7,800br1,560",21br53br14
202006030102,馬単,4 → 2,33170,54
202006030102,三連複,2 - 4 - 7,58330,113
202006030102,三連単,4 → 2 → 7,503050,704
202006030103,単勝,1,920,4
202006030103,複勝,1br13br15,310br230br430,4br3br7
202006030103,枠連,1 - 7,2160,9
202006030103,馬連,1 - 13,2790,9
202006030103,ワイド,1 - 13br1 - 15br13 - 15,"930br1,670br1,430",8br22br19
202006030103,馬単,1 → 13,5550,19
202006030103,三連複,1 - 13 - 15,9260,33
202006030103,三連単,1 → 13 → 15,60780,209
202006030104,単勝,12,380,2
202006030104,複勝,12br11br2,120br110br190,2br1br4
202006030104,枠連,6 - 6,280,1
202006030104,馬連,11 - 12,300,1
202006030104,ワイド,11 - 12br2 - 12br2 - 11,170br650br370,1br8br3
202006030104,馬単,12 → 11,780,2
202006030104,三連複,2 - 11 - 12,1020,2
202006030104,三連単,12 → 11 → 2,5720,10
202006030105,単勝,15,240,1
202006030105,複勝,15br14br12,120br140br340,1br2br6
202006030105,枠連,7 - 8,380,1
202006030105,馬連,14 - 15,380,1
202006030105,ワイド,14 - 15br12 - 15br12 - 14,"180br810br1,080",1br8br13
202006030105,馬単,15 → 14,620,1
202006030105,三連複,12 - 14 - 15,2090,4
202006030105,三連単,15 → 14 → 12,6050,12
202006030106,単勝,10,450,2
202006030106,複勝,10br6br2,130br110br270,2br1br6
202006030106,枠連,6 - 8,320,2
202006030106,馬連,6 - 10,320,1
202006030106,ワイド,6 - 10br2 - 10br2 - 6,180br620br490,1br9br6
202006030106,馬単,10 → 6,1110,4
202006030106,三連複,2 - 6 - 10,1240,4
202006030106,三連単,10 → 6 → 2,7790,27
202006030107,単勝,16,350,2
202006030107,複勝,16br11br1,"190br1,250br150",3br13br1
202006030107,枠連,6 - 8,2560,11
202006030107,馬連,11 - 16,16350,42
202006030107,ワイド,11 - 16br1 - 16br1 - 11,"3,730br320br4,100",41br1br44
202006030107,馬単,16 → 11,21220,61
202006030107,三連複,1 - 11 - 16,12390,44
202006030107,三連単,16 → 11 → 1,72560,234
202006030108,単勝,8,530,3
202006030108,複勝,8br11br4,150br120br130,3br1br2
202006030108,枠連,7 - 8,350,1
202006030108,馬連,8 - 11,480,1
202006030108,ワイド,8 - 11br4 - 8br4 - 11,250br460br250,1br6br2
202006030108,馬単,8 → 11,1140,3
202006030108,三連複,4 - 8 - 11,820,1
202006030108,三連単,8 → 11 → 4,4930,5
202006030109,単勝,5,250,1
202006030109,複勝,5br3br9,130br190br300,1br4br6
202006030109,枠連,3 - 5,710,2
202006030109,馬連,3 - 5,700,2
202006030109,ワイド,3 - 5br5 - 9br3 - 9,"340br690br1,470",2br9br22
202006030109,馬単,5 → 3,1230,3
202006030109,三連複,3 - 5 - 9,4070,16
202006030109,三連単,5 → 3 → 9,13880,47
202006030110,単勝,2,2780,10
202006030110,複勝,2br9br3,810br300br370,10br5br6
202006030110,枠連,2 - 6,9320,26
202006030110,馬連,2 - 9,7440,25
202006030110,ワイド,2 - 9br2 - 3br3 - 9,"2,160br5,230br1,530",26br46br17
202006030110,馬単,2 → 9,16280,61
202006030110,三連複,2 - 3 - 9,36990,104
202006030110,三連単,2 → 9 → 3,259140,662
202006030111,単勝,14,340,1
202006030111,複勝,14br10br12,150br210br530,1br3br9
202006030111,枠連,6 - 8,1090,3
202006030111,馬連,10 - 14,1270,2
202006030111,ワイド,10 - 14br12 - 14br10 - 12,"520br1,440br2,200",3br24br30
202006030111,馬単,14 → 10,2410,4
202006030111,三連複,10 - 12 - 14,7980,33
202006030111,三連単,14 → 10 → 12,33160,121
202006030112,単勝,10,650,4
202006030112,複勝,10br7br12,240br240br200,4br5br2
202006030112,枠連,4 - 5,810,2
202006030112,馬連,7 - 10,1730,3
202006030112,ワイド,7 - 10br10 - 12br7 - 12,640br840br840,3br10br9
202006030112,馬単,10 → 7,3450,7
202006030112,三連複,7 - 10 - 12,3920,6
202006030112,三連単,10 → 7 → 12,22310,42
202006030201,単勝,14,450,1
202006030201,複勝,14br11br6,150br180br160,1br3br2
202006030201,枠連,6 - 7,1350,5
202006030201,馬連,11 - 14,1400,2
202006030201,ワイド,11 - 14br6 - 14br6 - 11,600br590br480,4br3br1
202006030201,馬単,14 → 11,2750,3
202006030201,三連複,6 - 11 - 14,2430,1
202006030201,三連単,14 → 11 → 6,12190,2
202006030202,単勝,11,1350,6
202006030202,複勝,11br7br6,310br140br300,5br1br4
202006030202,枠連,4 - 6,400,1
202006030202,馬連,7 - 11,1420,4
202006030202,ワイド,7 - 11br6 - 11br6 - 7,"570br1,700br530",4br23br3
202006030202,馬単,11 → 7,3950,12
202006030202,三連複,6 - 7 - 11,4010,11
202006030202,三連単,11 → 7 → 6,25920,68
202006030203,単勝,2,3940,8
202006030203,複勝,2br5br7,810br180br260,8br2br5
202006030203,枠連,2 - 3,3410,12
202006030203,馬連,2 - 5,11640,26
202006030203,ワイド,2 - 5br2 - 7br5 - 7,"3,070br4,830br700",26br36br9
202006030203,馬単,2 → 5,27350,55
202006030203,三連複,2 - 5 - 7,22010,53
202006030203,三連単,2 → 5 → 7,165250,377
202006030204,単勝,11,440,3
202006030204,複勝,11br10br7,130br140br130,2br3br1
202006030204,枠連,5 - 6,1090,3
202006030204,馬連,10 - 11,1110,3
202006030204,ワイド,10 - 11br7 - 11br7 - 10,410br300br350,3br1br2
202006030204,馬単,11 → 10,2090,5
202006030204,三連複,7 - 10 - 11,1220,1
202006030204,三連単,11 → 10 → 7,6780,5
202006030205,単勝,16,180,1
202006030205,複勝,16br8br11,110br290br170,1br6br2
202006030205,枠連,4 - 8,1260,5
202006030205,馬連,8 - 16,1720,5
202006030205,ワイド,8 - 16br11 - 16br8 - 11,"640br290br1,200",5br1br14
202006030205,馬単,16 → 8,2240,8
202006030205,三連複,8 - 11 - 16,2960,7
202006030205,三連単,16 → 8 → 11,11100,22
202006030206,単勝,9,1770,7
202006030206,複勝,9br1br7,390br110br260,8br1br6
202006030206,枠連,1 - 7,1500,6
202006030206,馬連,1 - 9,1300,7
202006030206,ワイド,1 - 9br7 - 9br1 - 7,"580br2,550br470",7br28br5
202006030206,馬単,9 → 1,4510,15
202006030206,三連複,1 - 7 - 9,4400,20
202006030206,三連単,9 → 1 → 7,32790,106
202006030207,単勝,15,720,5
202006030207,複勝,15br10br8,240br330br500,5br6br7
202006030207,枠連,5 - 8,1250,6
202006030207,馬連,10 - 15,3980,16
202006030207,ワイド,10 - 15br8 - 15br8 - 10,"1,440br2,100br2,790",18br23br27
202006030207,馬単,15 → 10,7380,31
202006030207,三連複,8 - 10 - 15,19840,60
202006030207,三連単,15 → 10 → 8,105240,329
202006030208,単勝,13,480,3
202006030208,複勝,13br8br6,160br750br190,1br9br3
202006030208,枠連,5 - 7,1820,10
202006030208,馬連,8 - 13,6990,24
202006030208,ワイド,8 - 13br6 - 13br6 - 8,"2,410br520br3,320",28br2br38
202006030208,馬単,13 → 8,10930,37
202006030208,三連複,6 - 8 - 13,16140,55
202006030208,三連単,13 → 8 → 6,104130,350
202006030209,単勝,4,640,4
202006030209,複勝,4br5br8,210br180br200,4br2br3
202006030209,枠連,4 - 5,1960,9
202006030209,馬連,4 - 5,1380,4
202006030209,ワイド,4 - 5br4 - 8br5 - 8,520br660br670,4br5br6
202006030209,馬単,4 → 5,2760,8
202006030209,三連複,4 - 5 - 8,2530,4
202006030209,三連単,4 → 5 → 8,14770,38
202006030210,単勝,3,190,1
202006030210,複勝,3br8br2,120br180br880,1br2br14
202006030210,枠連,2 - 4,560,1
202006030210,馬連,3 - 8,680,1
202006030210,ワイド,3 - 8br2 - 3br2 - 8,"320br2,700br5,180",1br33br56
202006030210,馬単,3 → 8,970,1
202006030210,三連複,2 - 3 - 8,16550,50
202006030210,三連単,3 → 8 → 2,48460,140
202006030211,単勝,12,270,1
202006030211,複勝,12br2br4,140br260br630,1br5br8
202006030211,枠連,1 - 6,470,1
202006030211,馬連,2 - 12,1340,5
202006030211,ワイド,2 - 12br4 - 12br2 - 4,"590br2,480br5,140",5br25br48
202006030211,馬単,12 → 2,2140,6
202006030211,三連複,2 - 4 - 12,21420,62
202006030211,三連単,12 → 2 → 4,72890,219
202006030212,単勝,1,220,1
202006030212,複勝,1br5br3,140br160br360,1br2br7
202006030212,枠連,1 - 5,720,2
202006030212,馬連,1 - 5,670,1
202006030212,ワイド,1 - 5br1 - 3br3 - 5,"320br670br1,110",1br9br15
202006030212,馬単,1 → 5,1030,1
202006030212,三連複,1 - 3 - 5,3580,12
202006030212,三連単,1 → 5 → 3,10610,24
202006030301,単勝,9,500,3
202006030301,複勝,9br3br14,130br140br140,1br2br3
202006030301,枠連,2 - 5,850,3
202006030301,馬連,3 - 9,880,3
202006030301,ワイド,3 - 9br9 - 14br3 - 14,300br310br320,1br2br3
202006030301,馬単,9 → 3,1860,6
202006030301,三連複,3 - 9 - 14,860,1
202006030301,三連単,9 → 3 → 14,5440,5
202006030302,単勝,10,360,2
202006030302,複勝,10br14br9,130br240br140,1br6br2
202006030302,枠連,5 - 7,380,1
202006030302,馬連,10 - 14,1870,9
202006030302,ワイド,10 - 14br9 - 10br9 - 14,570br300br590,5br1br6
202006030302,馬単,10 → 14,3190,14
202006030302,三連複,9 - 10 - 14,2110,4
202006030302,三連単,10 → 14 → 9,12950,29
202006030303,単勝,12,220,1
202006030303,複勝,12br8br13,110br130br130,1br3br2
202006030303,枠連,4 - 6,400,1
202006030303,馬連,8 - 12,360,1
202006030303,ワイド,8 - 12br12 - 13br8 - 13,180br200br330,1br2br4
202006030303,馬単,12 → 8,590,1
202006030303,三連複,8 - 12 - 13,500,1
202006030303,三連単,12 → 8 → 13,1860,1
202006030304,単勝,10,220,1
202006030304,複勝,10br16br4,110br120br110,1br3br2
202006030304,枠連,5 - 8,430,2
202006030304,馬連,10 - 16,440,2
202006030304,ワイド,10 - 16br4 - 10br4 - 16,180br160br250,2br1br3
202006030304,馬単,10 → 16,740,2
202006030304,三連複,4 - 10 - 16,330,1
202006030304,三連単,10 → 16 → 4,1380,2
202006030305,単勝,11,400,1
202006030305,複勝,11br7br18,"160br1,090br170",1br12br2
202006030305,枠連,4 - 6,1480,7
202006030305,馬連,7 - 11,14970,45
202006030305,ワイド,7 - 11br11 - 18br7 - 18,"3,910br380br3,830",46br1br45
202006030305,馬単,11 → 7,23370,79
202006030305,三連複,7 - 11 - 18,16120,56
202006030305,三連単,11 → 7 → 18,108810,385
202006030306,単勝,6,1120,5
202006030306,複勝,6br11br4,390br180br730,5br3br7
202006030306,枠連,5 - 8,2080,9
202006030306,馬連,6 - 11,2050,8
202006030306,ワイド,6 - 11br4 - 6br4 - 11,"680br2,900br2,180",9br22br20
202006030306,馬単,6 → 11,4450,17
202006030306,三連複,4 - 6 - 11,14750,40
202006030306,三連単,6 → 11 → 4,73550,189
202006030307,単勝,6,3770,10
202006030307,複勝,6br2br8,610br200br260,8br3br4
202006030307,枠連,2 - 5,3980,12
202006030307,馬連,2 - 6,9320,26
202006030307,ワイド,2 - 6br6 - 8br2 - 8,"2,260br3,040br760",26br35br8
202006030307,馬単,6 → 2,25710,60
202006030307,三連複,2 - 6 - 8,20870,65
202006030307,三連単,6 → 2 → 8,178630,438
202006030308,単勝,2,250,1
202006030308,複勝,2br3br10,120br180br150,1br4br2
202006030308,枠連,2 - 3,1350,6
202006030308,馬連,2 - 3,1390,5
202006030308,ワイド,2 - 3br2 - 10br3 - 10,460br230br710,5br1br12
202006030308,馬単,2 → 3,2320,7
202006030308,三連複,2 - 3 - 10,1640,5
202006030308,三連単,2 → 3 → 10,8530,20
202006030309,単勝,8,230,1
202006030309,複勝,8br9br5,110br170br170,1br4br5
202006030309,枠連,7 - 7,850,5
202006030309,馬連,8 - 9,840,4
202006030309,ワイド,8 - 9br5 - 8br5 - 9,300br290br700,4br3br10
202006030309,馬単,8 → 9,1290,4
202006030309,三連複,5 - 8 - 9,1590,6
202006030309,三連単,8 → 9 → 5,6180,13
202006030310,単勝,5,360,1
202006030310,複勝,5br7br16,150br190br170,1br3br2
202006030310,枠連,3 - 4,1240,5
202006030310,馬連,5 - 7,1360,2
202006030310,ワイド,5 - 7br5 - 16br7 - 16,480br460br640,2br1br5
202006030310,馬単,5 → 7,2620,3
202006030310,三連複,5 - 7 - 16,2500,1
202006030310,三連単,5 → 7 → 16,10810,2
202006030311,単勝,4,1020,4
202006030311,複勝,4br5br6,330br870br390,4br12br5
202006030311,枠連,2 - 3,2240,10
202006030311,馬連,4 - 5,22560,63
202006030311,ワイド,4 - 5br4 - 6br5 - 6,"5,490br1,960br5,990",61br18br65
202006030311,馬単,4 → 5,38750,116
202006030311,三連複,4 - 5 - 6,69040,201
202006030311,三連単,4 → 5 → 6,419280,1131
202006030312,単勝,6,500,3
202006030312,複勝,6br4br11,"230br280br3,100",3br5br14
202006030312,枠連,2 - 3,1260,7
202006030312,馬連,4 - 6,1820,5
202006030312,ワイド,4 - 6br6 - 11br4 - 11,"760br13,820br14,160",6br74br75
202006030312,馬単,6 → 4,3280,8
202006030312,三連複,4 - 6 - 11,85030,195
202006030312,三連単,6 → 4 → 11,276340,779
202006030401,単勝,12,410,2
202006030401,複勝,12br1br11,160br340br210,2br6br4
202006030401,枠連,1 - 7,1430,7
202006030401,馬連,1 - 12,2440,11
202006030401,ワイド,1 - 12br11 - 12br1 - 11,"620br500br1,380",9br4br16
202006030401,馬単,12 → 1,3450,17
202006030401,三連複,1 - 11 - 12,4480,17
202006030401,三連単,12 → 1 → 11,18320,70
202006030402,単勝,4,380,2
202006030402,複勝,4br11br7,150br380br150,3br5br2
202006030402,枠連,2 - 6,3670,13
202006030402,馬連,4 - 11,3060,9
202006030402,ワイド,4 - 11br4 - 7br7 - 11,890br310br840,9br3br8
202006030402,馬単,4 → 11,5300,16
202006030402,三連複,4 - 7 - 11,2820,6
202006030402,三連単,4 → 11 → 7,18780,48
202006030403,単勝,15,920,4
202006030403,複勝,15br13br2,190br110br150,4br1br3
202006030403,枠連,7 - 8,460,2
202006030403,馬連,13 - 15,570,2
202006030403,ワイド,13 - 15br2 - 15br2 - 13,300br650br210,3br8br1
202006030403,馬単,15 → 13,1630,7
202006030403,三連複,2 - 13 - 15,850,1
202006030403,三連単,15 → 13 → 2,6650,19
202006030404,単勝,10,1580,5
202006030404,複勝,10br6br9,210br130br110,5br2br1
202006030404,枠連,6 - 8,230,1
202006030404,馬連,6 - 10,2470,7
202006030404,ワイド,6 - 10br9 - 10br6 - 9,570br330br170,8br4br1
202006030404,馬単,10 → 6,6540,17
202006030404,三連複,6 - 9 - 10,850,3
202006030404,三連単,10 → 6 → 9,13400,39
202006030405,単勝,3,150,1
202006030405,複勝,3br15br18,110br190br320,1br3br6
202006030405,枠連,2 - 7,600,3
202006030405,馬連,3 - 15,750,2
202006030405,ワイド,3 - 15br3 - 18br15 - 18,"360br580br2,680",2br4br24
202006030405,馬単,3 → 15,940,2
202006030405,三連複,3 - 15 - 18,3770,12
202006030405,三連単,3 → 15 → 18,8510,20
202006030406,単勝,7,170,1
202006030406,複勝,7br12br14,"120br180br7,910",1br3br14
202006030406,枠連,4 - 6,510,2
202006030406,馬連,7 - 12,480,1
202006030406,ワイド,7 - 12br7 - 14br12 - 14,"300br16,870br23,960",2br61br71
202006030406,馬単,7 → 12,600,1
