,0,1,2,3
202001010206,複勝,3br2,170br170,2br3
202001010206,馬連,2 - 3,620,3
202001010206,ワイド,2 - 3br3 - 4br2 - 4,190br160br160,3br2br1
202001010206,馬単,3 → 2,1210,6
202001010206,三連複,2 - 3 - 4,320,1
202001010206,三連単,3 → 2 → 4,2450,6
202001010207,単勝,4,140,1
202001010207,複勝,4br7br9,110br350br190,1br8br3
202001010207,枠連,4 - 7,1630,6
202001010207,馬連,4 - 7,1500,7
202001010207,ワイド,4 - 7br4 - 9br7 - 9,"560br240br1,980",7br2br27
202001010207,馬単,4 → 7,1750,8
202001010207,三連複,4 - 7 - 9,3130,17
202001010207,三連単,4 → 7 → 9,9520,39
202001010208,単勝,3,2290,6
202001010208,複勝,3br4br6,280br160br130,6br4br1
202001010208,馬連,3 - 4,4890,13
202001010208,ワイド,3 - 4br3 - 6br4 - 6,"1,240br770br330",14br10br5
202001010208,馬単,3 → 4,14220,33
202001010208,三連複,3 - 4 - 6,3830,15
202001010208,三連単,3 → 4 → 6,43730,120
202001010209,単勝,7,170,1
202001010209,複勝,7br1br2,110br150br660,1br2br10
202001010209,枠連,1 - 7,400,2
202001010209,馬連,1 - 7,400,1
202001010209,ワイド,1 - 7br2 - 7br1 - 2,"210br1,040br2,050",1br13br24
202001010209,馬単,7 → 1,500,1
202001010209,三連複,1 - 2 - 7,3180,11
202001010209,三連単,7 → 1 → 2,7920,23
202001010210,単勝,6,820,5
202001010210,複勝,6br5br13,270br290br190,5br7br1
202001010210,枠連,4 - 5,1650,7
202001010210,馬連,5 - 6,3150,15
202001010210,ワイド,5 - 6br6 - 13br5 - 13,"1,040br970br890",17br12br9
202001010210,馬単,6 → 5,6880,39
202001010210,三連複,5 - 6 - 13,5180,12
202001010210,三連単,6 → 5 → 13,37700,142
202001010211,単勝,9,850,4
202001010211,複勝,9br7br2,260br340br210,5br7br2
202001010211,枠連,5 - 6,1180,4
202001010211,馬連,7 - 9,7810,28
202001010211,ワイド,7 - 9br2 - 9br2 - 7,"1,930br850br1,330",27br6br16
202001010211,馬単,9 → 7,14210,54
202001010211,三連複,2 - 7 - 9,14680,45
202001010211,三連単,9 → 7 → 2,97470,344
202001010212,単勝,4,170,1
202001010212,複勝,4br7br6,110br660br830,1br10br11
202001010212,枠連,4 - 6,2270,8
202001010212,馬連,4 - 7,3180,8
202001010212,ワイド,4 - 7br4 - 6br6 - 7,"1,300br2,150br9,340",12br20br53
202001010212,馬単,4 → 7,3920,11
202001010212,三連複,4 - 6 - 7,38130,78
202001010212,三連単,4 → 7 → 6,106860,236
202001010301,単勝,3,290,2
202001010301,複勝,3br5br1,"140br1,250br650",1br8br6
202001010301,枠連,3 - 5,7350,18
202001010301,馬連,3 - 5,6820,16
202001010301,ワイド,3 - 5br1 - 3br1 - 5,"2,120br1,510br6,970",18br13br29
202001010301,馬単,3 → 5,11160,26
202001010301,三連複,1 - 3 - 5,25260,40
202001010301,三連単,3 → 5 → 1,128300,190
202001010302,単勝,7,290,1
202001010302,複勝,7br11br2,150br510br470,1br7br6
202001010302,枠連,5 - 7,2030,8
202001010302,馬連,7 - 11,2900,11
202001010302,ワイド,7 - 11br2 - 7br2 - 11,"1,080br850br3,380",11br7br38
202001010302,馬単,7 → 11,4480,15
202001010302,三連複,2 - 7 - 11,10580,35
202001010302,三連単,7 → 11 → 2,32110,98
202001010303,単勝,8,610,4
202001010303,複勝,8br9br6,230br170br310,4br2br7
202001010303,枠連,6 - 7,670,3
202001010303,馬連,8 - 9,1700,6
202001010303,ワイド,8 - 9br6 - 8br6 - 9,"710br1,040br1,060",7br17br18
202001010303,馬単,8 → 9,3620,14
202001010303,三連複,6 - 8 - 9,5400,22
202001010303,三連単,8 → 9 → 6,28390,120
202001010304,単勝,13,560,4
202001010304,複勝,13br9br10,160br240br190,2br5br4
202001010304,枠連,6 - 8,920,6
202001010304,馬連,9 - 13,2400,9
202001010304,ワイド,9 - 13br10 - 13br9 - 10,720br580br810,9br8br10
202001010304,馬単,13 → 9,4370,19
202001010304,三連複,9 - 10 - 13,4160,10
202001010304,三連単,13 → 9 → 10,24150,72
202001010305,単勝,3,730,4
202001010305,複勝,3br1br9,170br140br130,4br3br2
202001010305,枠連,1 - 3,1550,7
202001010305,馬連,1 - 3,1120,5
202001010305,ワイド,1 - 3br3 - 9br1 - 9,430br420br350,6br5br4
202001010305,馬単,3 → 1,2860,14
202001010305,三連複,1 - 3 - 9,1420,5
202001010305,三連単,3 → 1 → 9,10800,37
202001010306,単勝,4,3110,7
202001010306,複勝,4br1br11,600br150br390,8br1br5
202001010306,枠連,1 - 2,1780,7
202001010306,馬連,1 - 4,3390,10
202001010306,ワイド,1 - 4br4 - 11br1 - 11,"1,230br3,770br720",14br36br7
202001010306,馬単,4 → 1,10540,33
202001010306,三連複,1 - 4 - 11,10950,36
202001010306,三連単,4 → 1 → 11,93440,279
202001010307,単勝,4,240,2
202001010307,複勝,4br8br5,110br110br110,1br2br3
202001010307,枠連,4 - 8,210,1
202001010307,馬連,4 - 8,250,1
202001010307,ワイド,4 - 8br4 - 5br5 - 8,120br140br150,1br2br3
202001010307,馬単,4 → 8,560,2
202001010307,三連複,4 - 5 - 8,210,1
202001010307,三連単,4 → 8 → 5,1060,3
202001010308,単勝,10,2010,7
202001010308,複勝,10br1br7,460br590br220,7br8br2
202001010308,枠連,1 - 8,4650,15
202001010308,馬連,1 - 10,19370,44
202001010308,ワイド,1 - 10br7 - 10br1 - 7,"4,260br1,790br1,930",44br22br24
202001010308,馬単,10 → 1,39890,87
202001010308,三連複,1 - 7 - 10,34860,98
202001010308,三連単,10 → 1 → 7,344310,677
202001010309,単勝,1,230,1
202001010309,複勝,1br9br8,120br140br240,1br2br6
202001010309,枠連,1 - 7,370,1
202001010309,馬連,1 - 9,450,1
202001010309,ワイド,1 - 9br1 - 8br8 - 9,220br520br740,1br6br10
202001010309,馬単,1 → 9,770,1
202001010309,三連複,1 - 8 - 9,2010,4
202001010309,三連単,1 → 9 → 8,6220,10
202001010310,単勝,10,180,1
202001010310,複勝,10br8br9,110br170br150,1br4br2
202001010310,枠連,7 - 8,500,2
202001010310,馬連,8 - 10,670,3
202001010310,ワイド,8 - 10br9 - 10br8 - 9,290br250br510,3br2br6
202001010310,馬単,10 → 8,840,3
202001010310,三連複,8 - 9 - 10,1050,2
202001010310,三連単,10 → 8 → 9,3100,5
202001010311,単勝,7,930,4
202001010311,複勝,7br3br4,260br230br310,4br3br5
202001010311,枠連,3 - 5,460,1
202001010311,馬連,3 - 7,2720,8
202001010311,ワイド,3 - 7br4 - 7br3 - 4,"1,000br1,180br910",11br13br8
202001010311,馬単,7 → 3,5220,18
202001010311,三連複,3 - 4 - 7,7090,19
202001010311,三連単,7 → 3 → 4,45320,133
202001010312,単勝,11,490,2
202001010312,複勝,11br4br6,270br920br210,6br10br2
202001010312,枠連,4 - 8,7060,19
202001010312,馬連,4 - 11,11960,36
202001010312,ワイド,4 - 11br6 - 11br4 - 6,"3,520br1,030br4,840",39br12br49
202001010312,馬単,11 → 4,16810,63
202001010312,三連複,4 - 6 - 11,29320,100
202001010312,三連単,11 → 4 → 6,149310,512
