,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,horse_id,jockey_id,trainer_id,owner_id
202306010312,12,4,7,ゲンパチアイアン,牡6,58.0,丹内祐次,1:35.1,1.1/4,33.5,8.0,498(+8),[東] 西田雄一,1600,晴,芝,良,2023年1月8日,2017103871,01091,01187,689002
202306010312,13,5,10,アルママ,牡7,58.0,柴田大知,1:35.1,クビ,4.3,2.0,486(+4),[東] 畠山吉宏,1600,晴,芝,良,2023年1月8日,2016106022,01009,01048,716800
202306010312,14,8,16,ラキャラントシス,牝6,54.0,藤田菜七,1:35.3,3/4,59.9,11.0,482(-2),[東] 鈴木伸尋,1600,晴,芝,良,2023年1月8日,2017104345,01164,01026,250800
202306010312,15,8,15,エクレアスピード,セ7,56.0,原優介,1:35.3,クビ,125.5,14.0,480(+12),[東] 大和田成,1600,晴,芝,良,2023年1月8日,2016100097,01184,01124,008060
202306010312,16,1,2,ドゥリトル,牡8,56.0,横山琉人,1:36.2,5,244.4,16.0,498(+12),[西] 村山明,1600,晴,芝,良,2023年1月8日,2015104047,01192,01107,611006
202307010301,1,5,9,サイモンコーラル,牝3,54.0,松山弘平,1:56.4,,47.9,10.0,452(-2),[西] 羽月友彦,1800,晴,ダート,良,2023年1月8日,2020100629,01126,01091,132030
202307010301,2,5,8,グラングスト,牝3,54.0,イーガン,1:56.4,ハナ,20.1,4.0,542(0),[西] 高野友和,1800,晴,ダート,良,2023年1月8日,2020103525,05620,01117,226800
202307010301,3,1,1,スマートアイ,牝3,54.0,武豊,1:56.8,2,1.8,1.0,504(-2),[西] 寺島良,1800,晴,ダート,良,2023年1月8日,2020106877,00666,01158,007803
202307010301,4,3,4,ベファーナ,牝3,54.0,幸英明,1:57.1,2,35.9,8.0,496(0),[西] 松下武士,1800,晴,ダート,良,2023年1月8日,2020102757,00732,01149,148800
202307010301,5,4,6,ガウラ,牝3,54.0,和田竜二,1:57.2,1/2,5.5,3.0,478(-6),[西] 鈴木孝志,1800,晴,ダート,良,2023年1月8日,2020102195,01018,01111,334803
202307010301,6,6,11,リボンピーチ,牝3,51.0,鷲頭虎太,1:57.8,3.1/2,177.3,14.0,464(+4),[西] 羽月友彦,1800,晴,ダート,良,2023年1月8日,2020101281,01202,01091,763004
202307010301,7,8,14,リグレイアー,牝3,53.0,亀田温心,1:58.0,1.1/4,20.3,5.0,464(+2),[西] 北出成人,1800,晴,ダート,良,2023年1月8日,2020102225,01176,01078,212031
202307010301,8,4,7,ナウズザタイム,牝3,54.0,北村友一,1:58.0,クビ,181.0,15.0,464(-4),[西] 安田隆行,1800,晴,ダート,良,2023年1月8日,2020103323,01102,00438,624008
202307010301,9,3,5,ヘイチャンプ,牝3,54.0,鮫島克駿,1:58.2,1,39.7,9.0,484(-4),[西] 吉村圭司,1800,晴,ダート,良,2023年1月8日,2020101196,01157,01130,244031
202307010301,10,8,15,フラッシュダンス,牝3,54.0,岩田康誠,1:58.3,3/4,133.0,12.0,466(-8),[西] 辻野泰之,1800,晴,ダート,良,2023年1月8日,2020100782,05203,01183,087803
202307010301,11,7,12,キャロルビアンカ,牝3,54.0,城戸義政,1:58.5,3/4,29.9,7.0,480(+6),[西] 荒川義之,1800,晴,ダート,良,2023年1月8日,2020100719,01147,01095,117800
202307010301,12,6,10,ライジングラパス,牝3,54.0,国分恭介,1:58.9,2.1/2,3.8,2.0,424(0),[西] 宮本博,1800,晴,ダート,良,2023年1月8日,2020109096,01124,01073,051800
202307010301,13,2,3,スパークルスカイ,牝3,54.0,西村淳也,1:59.2,1.3/4,117.1,11.0,442(-4),[西] 森田直行,1800,晴,ダート,良,2023年1月8日,2020102596,01171,01142,231033
202307010301,14,7,13,ビレイ,牝3,54.0,藤岡佑介,2:01.8,大,26.0,6.0,452(0),[西] 宮本博,1800,晴,ダート,良,2023年1月8日,2020105607,01093,01073,788800
202307010301,15,2,2,ハイグッドミネルバ,牝3,54.0,和田翼,2:02.5,4,137.0,13.0,450(-6),[西] 谷潔,1800,晴,ダート,良,2023年1月8日,2020104821,01146,00431,142006
202307010302,1,6,11,マリアナトレンチ,牡3,56.0,鮫島克駿,1:26.2,,23.1,9.0,472(+2),[西] 音無秀孝,1400,晴,ダート,良,2023年1月8日,2020102737,01157,01002,727008
202307010302,2,5,9,スリーアイランド,牝3,54.0,浜中俊,1:26.8,3.1/2,4.7,2.0,468(+6),[西] 橋田満,1400,晴,ダート,良,2023年1月8日,2020110114,01115,00362,061800
202307010302,3,6,12,ファイアネイド,牝3,54.0,川田将雅,1:26.8,アタマ,6.6,3.0,444(-8),[西] 安田翔伍,1400,晴,ダート,良,2023年1月8日,2020101823,01088,01164,003060
202307010302,4,3,5,ルガル,牡3,56.0,坂井瑠星,1:26.8,クビ,3.4,1.0,514(0),[西] 杉山晴紀,1400,晴,ダート,良,2023年1月8日,2020106851,01163,01157,879033
202307010302,5,1,2,ジャスティンカプリ,牡3,56.0,福永祐一,1:27.2,2.1/2,15.7,6.0,476(+4),[西] 安田隆行,1400,晴,ダート,良,2023年1月8日,2020103570,01014,00438,195031
202307010302,6,1,1,フライングブレード,牡3,56.0,和田竜二,1:27.5,1.3/4,17.1,7.0,474(-2),[西] 飯田祐史,1400,晴,ダート,良,2023年1月8日,2020100906,01018,01139,646030
202307010302,7,2,4,マイネルフォーコン,牡3,56.0,ムルザバ,1:27.6,1/2,6.6,4.0,470(0),[西] 五十嵐忠,1400,晴,ダート,良,2023年1月8日,2020104523,05627,00422,546800
202307010302,8,8,16,エナジーポコアポコ,牡3,55.0,松本大輝,1:27.7,1/2,159.5,14.0,460(+6),[西] 高柳大輔,1400,晴,ダート,良,2023年1月8日,2020106934,01191,01159,005803
202307010302,9,4,8,スナークドリアン,牡3,54.0,角田大河,1:27.7,ハナ,46.3,12.0,522(+10),[西] 川村禎彦,1400,晴,ダート,良,2023年1月8日,2020100455,01199,01003,478030
202307010302,10,5,10,レッドカフラー,牡3,56.0,岩田望来,1:28.2,2.1/2,31.5,11.0,492(-2),[西] 矢作芳人,1400,晴,ダート,良,2023年1月8日,2020110138,01174,01075,180800
202307010302,11,7,14,ギーロカスタル,牡3,56.0,松山弘平,1:28.2,アタマ,21.9,8.0,452(+2),[西] 鈴木孝志,1400,晴,ダート,良,2023年1月8日,2020104845,01126,01111,702033
202307010302,12,4,7,ライヴリー,牝3,54.0,イーガン,1:28.5,1.3/4,23.7,10.0,470(+4),[西] 茶木太樹,1400,晴,ダート,良,2023年1月8日,2020102765,05620,01181,310007
202307010302,13,2,3,タガノヴィクター,牡3,53.0,大久保友,1:28.6,3/4,139.4,13.0,482(+16),[西] 加用正,1400,晴,ダート,良,2023年1月8日,2020105532,01194,00425,859002
202307010302,14,7,13,ヴィヴィッシモ,牡3,56.0,武豊,1:28.8,1.1/2,8.0,5.0,450(-2),[西] 松永幹夫,1400,晴,ダート,良,2023年1月8日,2020102637,00666,01092,486800
202307010302,15,8,15,タガノルークス,牡3,55.0,亀田温心,1:29.0,1.1/4,355.5,16.0,454(+2),[西] 北出成人,1400,晴,ダート,良,2023年1月8日,2020105546,01176,01078,859002
202307010302,16,3,6,アプレイザー,牡3,56.0,幸英明,1:30.0,6,202.8,15.0,418(-2),[西] 森田直行,1400,晴,ダート,良,2023年1月8日,2020100394,00732,01142,851009
202307010303,1,8,11,ハギノサステナブル,牡3,56.0,松若風馬,1:55.1,,4.8,3.0,450(-2),[西] 高野友和,1800,晴,ダート,良,2023年1月8日,2020105639,01154,01117,950006
202307010303,2,7,9,サンテックス,牡3,56.0,川田将雅,1:55.2,1/2,2.6,2.0,524(+28),[西] 浜田多実,1800,晴,ダート,良,2023年1月8日,2020100635,01088,01138,943030
202307010303,3,5,5,レッドラグラス,牡3,56.0,藤岡佑介,1:55.9,4,2.3,1.0,484(-6),[西] 中内田充,1800,晴,ダート,良,2023年1月8日,2020103183,01093,01137,180800
202307010303,4,7,8,ネイロン,牡3,54.0,角田大河,1:55.9,クビ,14.8,4.0,482(-6),[西] 中竹和也,1800,晴,ダート,良,2023年1月8日,2020101717,01199,01039,728008
202307010303,5,2,2,クリノトランプ,牡3,56.0,和田竜二,1:57.3,8,24.5,6.0,542(-4),[西] 川村禎彦,1800,晴,ダート,良,2023年1月8日,2020101251,01018,01003,970006
202307010303,6,6,6,モノクロームスター,牡3,56.0,荻野琢真,1:57.5,3/4,32.9,7.0,482(-4),[西] 今野貞一,1800,晴,ダート,良,2023年1月8日,2020106576,01112,01128,385031
202307010303,7,6,7,ブラスター,牡3,56.0,富田暁,1:58.3,5,64.8,9.0,486(-4),[西] 飯田祐史,1800,晴,ダート,良,2023年1月8日,2020104405,01168,01139,839033
202307010303,8,3,3,テーオーマルサス,牡3,56.0,菱田裕二,1:59.0,4,99.6,10.0,480(-4),[西] 岡田稲男,1800,晴,ダート,良,2023年1月8日,2020102342,01144,01066,304008
202307010303,9,4,4,ミオカーロ,牡3,56.0,ムルザバ,1:59.8,5,16.4,5.0,546(+6),[西] 清水久詞,1800,晴,ダート,良,2023年1月8日,2020101300,05627,01110,506800
202307010303,10,8,10,ミフネ,牡3,56.0,松山弘平,2:00.2,2.1/2,45.5,8.0,492(-8),[西] 北出成人,1800,晴,ダート,良,2023年1月8日,2020104309,01126,01078,297007
202307010303,11,1,1,カモンザファースト,牡3,56.0,松田大作,2:03.3,大,292.2,11.0,430(-6),[西] 武英智,1800,晴,ダート,良,2023年1月8日,2020104956,01030,01161,747033
202307010304,1,6,11,タガノシャーンス,牝3,54.0,川須栄彦,1:12.5,,10.2,5.0,452(0),[西] 中尾秀正,1200,晴,ダート,良,2023年1月8日,2020105539,01128,01069,859002
202307010304,2,6,12,バスドラムガール,牝3,54.0,水口優也,1:13.3,5,4.3,2.0,454(0),[西] 羽月友彦,1200,晴,ダート,良,2023年1月8日,2020104363,01133,01091,065803
